,crss_6,crss_6,crss_13,crss_13,crss_16,crss_16
,10.2MW_solar_PPA,+100MW_PPA,10.2MW_solar_PPA,+100MW_PPA,10.2MW_solar_PPA,+100MW_PPA
2023,21229486.45242254,9137512.752163984,23877642.333900522,11609892.975427518,23877642.333900522,11609892.975427518
2024,20316776.98634749,10429017.138478879,19136256.653386164,9573065.213042704,19807674.968659766,10148676.07603341
2025,27403270.587572314,17839143.54981616,18878107.89769183,10156797.299415294,19697185.863152236,10978979.403224234
2026,41368121.28665454,27834682.287477348,22484554.949445166,11898374.154161617,24289671.90865674,13627766.290108468
2027,37225009.56252107,23422446.09773301,22406290.534215413,10669671.72554205,22588044.28014923,10748541.85010318
2028,40799975.752945475,26769951.793161243,24877112.412406392,12717663.576624546,25021789.835934132,12850030.660538657
2029,36911430.731217526,23054970.696944445,24415487.261030287,14443742.494665444,25675269.77486874,17513581.81915131
