"datetime","realization","MDE_ele"
2023-01-01,"31",1052.8
2023-02-01,"31",1052.27
2023-03-01,"31",1049.55
2023-04-01,"31",1043.94
2023-05-01,"31",1039.7
2023-06-01,"31",1034.16
2023-07-01,"31",1031.17
2023-08-01,"31",1029.1
2023-09-01,"31",1027.09
2023-10-01,"31",1030
2023-11-01,"31",1030.94
2023-12-01,"31",1033.32
2024-01-01,"31",1036.06
2024-02-01,"31",1035.67
2024-03-01,"31",1034.1
2024-04-01,"31",1029.84
2024-05-01,"31",1026.07
2024-06-01,"31",1023.65
2024-07-01,"31",1025.79
2024-08-01,"31",1034.78
2024-09-01,"31",1041.17
2024-10-01,"31",1041.39
2024-11-01,"31",1042.22
2024-12-01,"31",1044.5
2025-01-01,"31",1046.78
2025-02-01,"31",1047.52
2025-03-01,"31",1045.61
2025-04-01,"31",1042.66
2025-05-01,"31",1039.64
2025-06-01,"31",1035.49
2025-07-01,"31",1032.3
2025-08-01,"31",1032.11
2025-09-01,"31",1030.68
2025-10-01,"31",1032.27
2025-11-01,"31",1031.52
2025-12-01,"31",1032.18
2026-01-01,"31",1034.54
2026-02-01,"31",1035.01
2026-03-01,"31",1032.81
2026-04-01,"31",1028.36
2026-05-01,"31",1024.1
2026-06-01,"31",1019.45
2026-07-01,"31",1017.74
2026-08-01,"31",1017.31
2026-09-01,"31",1016.58
2026-10-01,"31",1019.97
2026-11-01,"31",1020.87
2026-12-01,"31",1023.9
2027-01-01,"31",1026.41
2027-02-01,"31",1025.12
2027-03-01,"31",1021.92
2027-04-01,"31",1015.77
2027-05-01,"31",1010.48
2027-06-01,"31",1005.29
2027-07-01,"31",1000.9
2027-08-01,"31",998.9
2027-09-01,"31",999.04
2027-10-01,"31",1002.89
2027-11-01,"31",1004.99
2027-12-01,"31",1007.3
2028-01-01,"31",1008.94
2028-02-01,"31",1008.48
2028-03-01,"31",1005.32
2028-04-01,"31",999.49
2028-05-01,"31",995.89
2028-06-01,"31",991.89
2028-07-01,"31",987.6
2028-08-01,"31",987.04
2028-09-01,"31",986.65
2028-10-01,"31",991.25
2028-11-01,"31",994.12
2028-12-01,"31",998.98
2029-01-01,"31",1001.43
2029-02-01,"31",1002.39
2029-03-01,"31",1002.92
2029-04-01,"31",998.56
2029-05-01,"31",995.05
2029-06-01,"31",988.75
2029-07-01,"31",984.95
2029-08-01,"31",984.35
2029-09-01,"31",983.55
2029-10-01,"31",989.3
2029-11-01,"31",992.11
2029-12-01,"31",996.36
2030-01-01,"31",1007.14
2030-02-01,"31",1014.88
2030-03-01,"31",1020.75
2030-04-01,"31",1018.62
2030-05-01,"31",1017.57
