"datetime","realization","MDE_ele"
2023-01-01,"9",1052.93
2023-02-01,"9",1052.72
2023-03-01,"9",1049.11
2023-04-01,"9",1045.57
2023-05-01,"9",1042.74
2023-06-01,"9",1038.68
2023-07-01,"9",1036.74
2023-08-01,"9",1035.9
2023-09-01,"9",1034.75
2023-10-01,"9",1035.65
2023-11-01,"9",1035.92
2023-12-01,"9",1036.33
2024-01-01,"9",1037.51
2024-02-01,"9",1036.89
2024-03-01,"9",1035.62
2024-04-01,"9",1031.38
2024-05-01,"9",1027.86
2024-06-01,"9",1023.22
2024-07-01,"9",1020.17
2024-08-01,"9",1019.88
2024-09-01,"9",1020.02
2024-10-01,"9",1023.27
2024-11-01,"9",1025.61
2024-12-01,"9",1027.57
2025-01-01,"9",1030.27
2025-02-01,"9",1032.95
2025-03-01,"9",1033.96
2025-04-01,"9",1033.27
2025-05-01,"9",1033
2025-06-01,"9",1031.18
2025-07-01,"9",1031.21
2025-08-01,"9",1032.34
2025-09-01,"9",1032.93
2025-10-01,"9",1036.17
2025-11-01,"9",1036.99
2025-12-01,"9",1037.88
2026-01-01,"9",1043.06
2026-02-01,"9",1044.67
2026-03-01,"9",1044.03
2026-04-01,"9",1046.31
2026-05-01,"9",1050.26
2026-06-01,"9",1055.85
2026-07-01,"9",1066.92
2026-08-01,"9",1080.89
2026-09-01,"9",1091.64
2026-10-01,"9",1093.57
2026-11-01,"9",1094.69
2026-12-01,"9",1096.85
2027-01-01,"9",1098.1
2027-02-01,"9",1097.47
2027-03-01,"9",1095.21
2027-04-01,"9",1090.41
2027-05-01,"9",1087.94
2027-06-01,"9",1085.06
2027-07-01,"9",1082.32
2027-08-01,"9",1081.3
2027-09-01,"9",1079.59
2027-10-01,"9",1080.89
2027-11-01,"9",1080.5
2027-12-01,"9",1081.28
2028-01-01,"9",1083.06
2028-02-01,"9",1082.74
2028-03-01,"9",1080.61
2028-04-01,"9",1077.56
2028-05-01,"9",1076.46
2028-06-01,"9",1074.6
2028-07-01,"9",1073.61
2028-08-01,"9",1074.85
2028-09-01,"9",1075.1
2028-10-01,"9",1076.21
2028-11-01,"9",1075.99
2028-12-01,"9",1076.87
2029-01-01,"9",1077.69
2029-02-01,"9",1076.41
2029-03-01,"9",1073.28
2029-04-01,"9",1068.19
2029-05-01,"9",1065.32
2029-06-01,"9",1061.5
2029-07-01,"9",1058.97
2029-08-01,"9",1057.47
2029-09-01,"9",1057.33
2029-10-01,"9",1056.97
2029-11-01,"9",1055.03
2029-12-01,"9",1054.45
2030-01-01,"9",1056.23
2030-02-01,"9",1056.58
2030-03-01,"9",1053.93
2030-04-01,"9",1049.48
2030-05-01,"9",1046.18
2030-06-01,"9",1041.6
2030-07-01,"9",1038.39
2030-08-01,"9",1037.72
2030-09-01,"9",1036.45
2030-10-01,"9",1036.59
2030-11-01,"9",1035.97
2030-12-01,"9",1036.55
2031-01-01,"9",1037.33
2031-02-01,"9",1036.82
2031-03-01,"9",1032.96
2031-04-01,"9",1028.06
2031-05-01,"9",1023.69
2031-06-01,"9",1017.73
2031-07-01,"9",1013.49
2031-08-01,"9",1011.02
2031-09-01,"9",1009.85
2031-10-01,"9",1015.13
2031-11-01,"9",1018.31
2031-12-01,"9",1022.03
2032-01-01,"9",1032.82
2032-02-01,"9",1039.59
2032-03-01,"9",1040.65
2032-04-01,"9",1039.02
2032-05-01,"9",1038.43
2032-06-01,"9",1034.44
2032-07-01,"9",1031.11
2032-08-01,"9",1035.49
2032-09-01,"9",1037.31
2032-10-01,"9",1038.62
2032-11-01,"9",1037.88
2032-12-01,"9",1038.86
2033-01-01,"9",1040.41
2033-02-01,"9",1040.4
2033-03-01,"9",1038.99
2033-04-01,"9",1034.62
2033-05-01,"9",1031.09
2033-06-01,"9",1026.54
2033-07-01,"9",1023.28
2033-08-01,"9",1022.5
2033-09-01,"9",1021
2033-10-01,"9",1025.57
2033-11-01,"9",1027.23
2033-12-01,"9",1029.65
2034-01-01,"9",1030.84
2034-02-01,"9",1030.12
2034-03-01,"9",1027.77
2034-04-01,"9",1022.62
2034-05-01,"9",1018.7
2034-06-01,"9",1013.4
2034-07-01,"9",1009.97
2034-08-01,"9",1009.08
2034-09-01,"9",1007.31
2034-10-01,"9",1010.99
2034-11-01,"9",1013.39
2034-12-01,"9",1017.17
2035-01-01,"9",1021.07
2035-02-01,"9",1023.17
2035-03-01,"9",1022.7
2035-04-01,"9",1018.91
2035-05-01,"9",1016.57
2035-06-01,"9",1012.9
2035-07-01,"9",1011.02
2035-08-01,"9",1011.48
2035-09-01,"9",1011.42
2035-10-01,"9",1015.5
2035-11-01,"9",1018.26
2035-12-01,"9",1022.2
2036-01-01,"9",1026.49
2036-02-01,"9",1029.18
2036-03-01,"9",1029.32
2036-04-01,"9",1026.73
2036-05-01,"9",1026.31
2036-06-01,"9",1024.34
2036-07-01,"9",1023.59
2036-08-01,"9",1024.34
2036-09-01,"9",1025.02
2036-10-01,"9",1028.32
2036-11-01,"9",1030.3
