"datetime","realization","MDE_ele"
2023-01-01,"13",1052.99
2023-02-01,"13",1053.08
2023-03-01,"13",1050.96
2023-04-01,"13",1045.49
2023-05-01,"13",1042.15
2023-06-01,"13",1038.38
2023-07-01,"13",1034.67
2023-08-01,"13",1033.63
2023-09-01,"13",1031.91
2023-10-01,"13",1032.68
2023-11-01,"13",1031.7
2023-12-01,"13",1032.51
2024-01-01,"13",1035.21
2024-02-01,"13",1035.63
2024-03-01,"13",1033.49
2024-04-01,"13",1028.22
2024-05-01,"13",1024.53
2024-06-01,"13",1019.82
2024-07-01,"13",1015.78
2024-08-01,"13",1015.13
2024-09-01,"13",1014
2024-10-01,"13",1016.98
2024-11-01,"13",1018.23
2024-12-01,"13",1020.85
2025-01-01,"13",1021.3
2025-02-01,"13",1019.56
2025-03-01,"13",1014.98
2025-04-01,"13",1007.64
2025-05-01,"13",1002.17
2025-06-01,"13",995.36
2025-07-01,"13",989.88
2025-08-01,"13",986.34
2025-09-01,"13",985.47
2025-10-01,"13",990.2
2025-11-01,"13",991.85
2025-12-01,"13",992.67
2026-01-01,"13",991.77
2026-02-01,"13",988.58
2026-03-01,"13",980.57
2026-04-01,"13",970.82
2026-05-01,"13",965.53
2026-06-01,"13",960.79
2026-07-01,"13",958.47
2026-08-01,"13",957.68
2026-09-01,"13",957.75
2026-10-01,"13",960.78
2026-11-01,"13",960.51
2026-12-01,"13",959.32
2027-01-01,"13",956.67
2027-02-01,"13",952.1
2027-03-01,"13",942.51
2027-04-01,"13",933.7
2027-05-01,"13",929.12
2027-06-01,"13",922.5
2027-07-01,"13",916.15
2027-08-01,"13",908.47
2027-09-01,"13",904.4
2027-10-01,"13",908.08
2027-11-01,"13",908.4
2027-12-01,"13",908.3
2028-01-01,"13",919.24
2028-02-01,"13",926.78
2028-03-01,"13",925.99
2028-04-01,"13",921.33
2028-05-01,"13",924.32
2028-06-01,"13",926.39
2028-07-01,"13",935.41
2028-08-01,"13",940.28
2028-09-01,"13",946.96
2028-10-01,"13",953.46
2028-11-01,"13",956.15
2028-12-01,"13",960.8
2029-01-01,"13",966.79
2029-02-01,"13",968.94
2029-03-01,"13",968.32
2029-04-01,"13",963.16
2029-05-01,"13",959.9
2029-06-01,"13",957.14
2029-07-01,"13",956.8
2029-08-01,"13",959.46
2029-09-01,"13",964
2029-10-01,"13",970.89
2029-11-01,"13",973.85
2029-12-01,"13",977.75
2030-01-01,"13",981.73
2030-02-01,"13",982.51
2030-03-01,"13",981.29
2030-04-01,"13",976.61
2030-05-01,"13",972.97
2030-06-01,"13",967.55
2030-07-01,"13",964.24
2030-08-01,"13",967.37
2030-09-01,"13",968.77
2030-10-01,"13",973.76
2030-11-01,"13",977.15
2030-12-01,"13",982.17
2031-01-01,"13",986.16
2031-02-01,"13",987.45
2031-03-01,"13",985.58
2031-04-01,"13",981.08
2031-05-01,"13",981.02
2031-06-01,"13",978.62
2031-07-01,"13",979.99
2031-08-01,"13",991.19
2031-09-01,"13",998.7
2031-10-01,"13",1003.1
2031-11-01,"13",1006.07
2031-12-01,"13",1010.28
2032-01-01,"13",1013.08
2032-02-01,"13",1014.1
2032-03-01,"13",1012.16
2032-04-01,"13",1007.65
2032-05-01,"13",1004.89
2032-06-01,"13",1001.34
2032-07-01,"13",999.24
2032-08-01,"13",1006.39
2032-09-01,"13",1012.06
2032-10-01,"13",1015.61
2032-11-01,"13",1017.73
2032-12-01,"13",1020.86
2033-01-01,"13",1025.43
2033-02-01,"13",1025.16
2033-03-01,"13",1023.03
2033-04-01,"13",1018.91
2033-05-01,"13",1014.5
2033-06-01,"13",1007.95
2033-07-01,"13",1003.5
2033-08-01,"13",1007.27
2033-09-01,"13",1009.14
2033-10-01,"13",1013.55
2033-11-01,"13",1014.83
2033-12-01,"13",1021.68
2034-01-01,"13",1026.09
2034-02-01,"13",1029.49
2034-03-01,"13",1030.66
2034-04-01,"13",1030.29
2034-05-01,"13",1030.51
2034-06-01,"13",1029.56
2034-07-01,"13",1029.94
2034-08-01,"13",1032.23
2034-09-01,"13",1033.73
2034-10-01,"13",1035.01
2034-11-01,"13",1035.02
2034-12-01,"13",1037.11
2035-01-01,"13",1038.85
2035-02-01,"13",1038.44
2035-03-01,"13",1035.95
2035-04-01,"13",1031.38
2035-05-01,"13",1027.94
2035-06-01,"13",1022.8
2035-07-01,"13",1020.48
2035-08-01,"13",1020.67
2035-09-01,"13",1019.78
2035-10-01,"13",1023.37
2035-11-01,"13",1025.21
2035-12-01,"13",1028.17
2036-01-01,"13",1031.12
2036-02-01,"13",1029.93
2036-03-01,"13",1026.34
2036-04-01,"13",1020.65
2036-05-01,"13",1015.74
2036-06-01,"13",1008.65
2036-07-01,"13",1004.07
2036-08-01,"13",1004.37
2036-09-01,"13",1000.92
2036-10-01,"13",1004.45
2036-11-01,"13",1007.82
2036-12-01,"13",1010.86
2037-01-01,"13",1015.4
2037-02-01,"13",1016.65
2037-03-01,"13",1013.86
2037-04-01,"13",1009.45
2037-05-01,"13",1005.4
2037-06-01,"13",999.1
2037-07-01,"13",996.25
2037-08-01,"13",1001.66
2037-09-01,"13",1003.67
2037-10-01,"13",1007.84
2037-11-01,"13",1010.06
2037-12-01,"13",1014.07
2038-01-01,"13",1016.87
2038-02-01,"13",1016.45
2038-03-01,"13",1012.49
2038-04-01,"13",1006.38
2038-05-01,"13",1001.31
2038-06-01,"13",995.1
2038-07-01,"13",993.25
2038-08-01,"13",998.37
2038-09-01,"13",1000.99
2038-10-01,"13",1006.23
2038-11-01,"13",1008.49
2038-12-01,"13",1012.2
2039-01-01,"13",1015.5
2039-02-01,"13",1015.47
2039-03-01,"13",1012.9
2039-04-01,"13",1007.94
2039-05-01,"13",1003.29
2039-06-01,"13",998.35
2039-07-01,"13",996.65
2039-08-01,"13",1001.07
2039-09-01,"13",1003.5
2039-10-01,"13",1007.8
2039-11-01,"13",1010.38
2039-12-01,"13",1014.49
2040-01-01,"13",1018.61
2040-02-01,"13",1019.9
2040-03-01,"13",1016.83
2040-04-01,"13",1012.2
2040-05-01,"13",1009.32
2040-06-01,"13",1006.97
2040-07-01,"13",1010.84
2040-08-01,"13",1019.18
2040-09-01,"13",1025.64
2040-10-01,"13",1026.46
2040-11-01,"13",1026.54
2040-12-01,"13",1028.08
2041-01-01,"13",1030.82
2041-02-01,"13",1030.38
2041-03-01,"13",1027.12
2041-04-01,"13",1020.71
2041-05-01,"13",1015.76
2041-06-01,"13",1009.29
2041-07-01,"13",1005.53
2041-08-01,"13",1002.74
2041-09-01,"13",1000.33
2041-10-01,"13",1004.52
2041-11-01,"13",1006.44
2041-12-01,"13",1009.95
2042-01-01,"13",1015.19
2042-02-01,"13",1017.54
2042-03-01,"13",1018.61
2042-04-01,"13",1016.7
2042-05-01,"13",1014.62
2042-06-01,"13",1012.41
2042-07-01,"13",1012.39
2042-08-01,"13",1018.32
2042-09-01,"13",1022.64
2042-10-01,"13",1025.71
2042-11-01,"13",1029.1
2042-12-01,"13",1033.54
2043-01-01,"13",1037.99
2043-02-01,"13",1039.75
2043-03-01,"13",1037.94
2043-04-01,"13",1034.12
