"datetime","realization","MDE_ele"
2023-01-01,"16",1052.79
2023-02-01,"16",1053.17
2023-03-01,"16",1050.5
2023-04-01,"16",1046.02
2023-05-01,"16",1042.71
2023-06-01,"16",1038.1
2023-07-01,"16",1034.92
2023-08-01,"16",1034.31
2023-09-01,"16",1033.04
2023-10-01,"16",1033.18
2023-11-01,"16",1032.55
2023-12-01,"16",1033.13
2024-01-01,"16",1034.78
2024-02-01,"16",1034.97
2024-03-01,"16",1031.85
2024-04-01,"16",1027.63
2024-05-01,"16",1023.95
2024-06-01,"16",1018.75
2024-07-01,"16",1015.38
2024-08-01,"16",1013.86
2024-09-01,"16",1013.41
2024-10-01,"16",1018.59
2024-11-01,"16",1021.71
2024-12-01,"16",1025.38
2025-01-01,"16",1033.22
2025-02-01,"16",1038.8
2025-03-01,"16",1039.12
2025-04-01,"16",1035.53
2025-05-01,"16",1034.05
2025-06-01,"16",1031.27
2025-07-01,"16",1031.56
2025-08-01,"16",1037.83
2025-09-01,"16",1040.81
2025-10-01,"16",1041.96
2025-11-01,"16",1041.07
2025-12-01,"16",1041.89
2026-01-01,"16",1043.41
2026-02-01,"16",1043.39
2026-03-01,"16",1041.98
2026-04-01,"16",1037.67
2026-05-01,"16",1034.18
2026-06-01,"16",1029.68
2026-07-01,"16",1026.46
2026-08-01,"16",1025.67
2026-09-01,"16",1024.18
2026-10-01,"16",1028.66
2026-11-01,"16",1030.29
2026-12-01,"16",1032.67
2027-01-01,"16",1033.26
2027-02-01,"16",1031.98
2027-03-01,"16",1029.07
2027-04-01,"16",1023.35
2027-05-01,"16",1018.83
2027-06-01,"16",1012.91
2027-07-01,"16",1008.84
2027-08-01,"16",1007.31
2027-09-01,"16",1004.88
2027-10-01,"16",1007.97
2027-11-01,"16",1009.77
2027-12-01,"16",1013
2028-01-01,"16",1016.69
2028-02-01,"16",1018.53
2028-03-01,"16",1017.75
2028-04-01,"16",1013.57
2028-05-01,"16",1010.87
2028-06-01,"16",1006.81
2028-07-01,"16",1004.57
2028-08-01,"16",1004.75
2028-09-01,"16",1004.4
2028-10-01,"16",1008.33
2028-11-01,"16",1010.9
2028-12-01,"16",1014.7
2029-01-01,"16",1019.16
2029-02-01,"16",1021.99
2029-03-01,"16",1022.15
2029-04-01,"16",1019.5
2029-05-01,"16",1019.09
2029-06-01,"16",1017.08
2029-07-01,"16",1016.34
2029-08-01,"16",1017.16
