"datetime","realization","MDE_ele"
2023-01-01,"2",1052.82
2023-02-01,"2",1052.97
2023-03-01,"2",1050.69
2023-04-01,"2",1046.33
2023-05-01,"2",1042.19
2023-06-01,"2",1037.69
2023-07-01,"2",1035.88
2023-08-01,"2",1035.24
2023-09-01,"2",1034.29
2023-10-01,"2",1037.07
2023-11-01,"2",1037.56
2023-12-01,"2",1040.03
2024-01-01,"2",1040.8
2024-02-01,"2",1038.84
2024-03-01,"2",1034.98
2024-04-01,"2",1028.41
2024-05-01,"2",1022.7
2024-06-01,"2",1017.05
2024-07-01,"2",1012.14
2024-08-01,"2",1009.48
2024-09-01,"2",1008.81
2024-10-01,"2",1011.54
2024-11-01,"2",1012.63
2024-12-01,"2",1014.97
2025-01-01,"2",1017.43
2025-02-01,"2",1017.28
2025-03-01,"2",1015
2025-04-01,"2",1009.61
2025-05-01,"2",1004.74
2025-06-01,"2",999.37
2025-07-01,"2",993.5
2025-08-01,"2",991.12
2025-09-01,"2",989.22
2025-10-01,"2",993.23
2025-11-01,"2",995.56
2025-12-01,"2",999.89
2026-01-01,"2",1003.75
2026-02-01,"2",1005.29
2026-03-01,"2",1006.22
2026-04-01,"2",1001.31
2026-05-01,"2",997.21
2026-06-01,"2",990.3
2026-07-01,"2",985.76
2026-08-01,"2",984.44
2026-09-01,"2",982.91
2026-10-01,"2",988.51
2026-11-01,"2",991.16
2026-12-01,"2",996.61
2027-01-01,"2",1010.26
2027-02-01,"2",1020.04
2027-03-01,"2",1027.69
2027-04-01,"2",1027.65
2027-05-01,"2",1028.81
2027-06-01,"2",1027.75
2027-07-01,"2",1027.87
2027-08-01,"2",1035.65
2027-09-01,"2",1040.14
2027-10-01,"2",1041.64
2027-11-01,"2",1041.95
2027-12-01,"2",1043.87
2028-01-01,"2",1046.21
2028-02-01,"2",1046.38
2028-03-01,"2",1045.03
2028-04-01,"2",1040.46
2028-05-01,"2",1037.76
2028-06-01,"2",1033.38
2028-07-01,"2",1030.41
2028-08-01,"2",1029.1
2028-09-01,"2",1028.46
2028-10-01,"2",1031.94
2028-11-01,"2",1033.03
2028-12-01,"2",1036.9
2029-01-01,"2",1043.85
2029-02-01,"2",1048.44
2029-03-01,"2",1053.39
2029-04-01,"2",1052.01
2029-05-01,"2",1052.77
2029-06-01,"2",1052.13
2029-07-01,"2",1052.81
2029-08-01,"2",1054.6
2029-09-01,"2",1055.69
2029-10-01,"2",1058.75
2029-11-01,"2",1060.99
2029-12-01,"2",1063.94
2030-01-01,"2",1067.16
2030-02-01,"2",1068.14
2030-03-01,"2",1066.05
2030-04-01,"2",1063.87
2030-05-01,"2",1062.34
2030-06-01,"2",1059.79
2030-07-01,"2",1059.33
2030-08-01,"2",1060
2030-09-01,"2",1059.97
2030-10-01,"2",1062.51
2030-11-01,"2",1064.22
2030-12-01,"2",1065.7
2031-01-01,"2",1067.92
2031-02-01,"2",1068.43
2031-03-01,"2",1068.47
2031-04-01,"2",1065.81
2031-05-01,"2",1063.82
2031-06-01,"2",1060.98
2031-07-01,"2",1059.67
2031-08-01,"2",1060.75
2031-09-01,"2",1061.76
2031-10-01,"2",1063.99
2031-11-01,"2",1065.49
2031-12-01,"2",1066.68
2032-01-01,"2",1068.57
2032-02-01,"2",1070.46
2032-03-01,"2",1070.97
2032-04-01,"2",1070.04
2032-05-01,"2",1069.49
2032-06-01,"2",1067.62
2032-07-01,"2",1067.28
2032-08-01,"2",1067.86
2032-09-01,"2",1068.01
2032-10-01,"2",1070.41
2032-11-01,"2",1070.75
2032-12-01,"2",1071.17
2033-01-01,"2",1075.28
2033-02-01,"2",1076.37
2033-03-01,"2",1075.51
2033-04-01,"2",1071.76
2033-05-01,"2",1069.67
2033-06-01,"2",1067.17
2033-07-01,"2",1067.2
2033-08-01,"2",1068.03
2033-09-01,"2",1068.12
2033-10-01,"2",1070.04
2033-11-01,"2",1071.05
2033-12-01,"2",1073.2
2034-01-01,"2",1076.41
2034-02-01,"2",1077.68
2034-03-01,"2",1077.05
2034-04-01,"2",1073.31
2034-05-01,"2",1071.46
2034-06-01,"2",1069.32
2034-07-01,"2",1067.41
2034-08-01,"2",1067.93
2034-09-01,"2",1067.49
2034-10-01,"2",1069.88
2034-11-01,"2",1070.54
2034-12-01,"2",1072.37
2035-01-01,"2",1075.86
2035-02-01,"2",1077.32
2035-03-01,"2",1076.75
2035-04-01,"2",1073.48
2035-05-01,"2",1071.55
2035-06-01,"2",1068.91
2035-07-01,"2",1067
2035-08-01,"2",1067.84
2035-09-01,"2",1067.92
2035-10-01,"2",1069.9
2035-11-01,"2",1070.54
2035-12-01,"2",1072.26
2036-01-01,"2",1074.82
2036-02-01,"2",1075.35
2036-03-01,"2",1073.89
2036-04-01,"2",1070.11
2036-05-01,"2",1067.91
2036-06-01,"2",1064.95
2036-07-01,"2",1063.3
2036-08-01,"2",1063.28
2036-09-01,"2",1064.35
2036-10-01,"2",1066.86
2036-11-01,"2",1067.64
2036-12-01,"2",1069.32
2037-01-01,"2",1070.36
2037-02-01,"2",1070.13
2037-03-01,"2",1067.04
2037-04-01,"2",1062.31
2037-05-01,"2",1058.64
2037-06-01,"2",1053.72
2037-07-01,"2",1049.98
2037-08-01,"2",1048.6
2037-09-01,"2",1046.82
2037-10-01,"2",1046.93
2037-11-01,"2",1046.31
2037-12-01,"2",1046.83
2038-01-01,"2",1048.24
2038-02-01,"2",1048.32
2038-03-01,"2",1045.27
2038-04-01,"2",1041.2
2038-05-01,"2",1037.63
2038-06-01,"2",1032.63
2038-07-01,"2",1029.35
2038-08-01,"2",1027.78
2038-09-01,"2",1027.21
2038-10-01,"2",1029.6
2038-11-01,"2",1030.41
2038-12-01,"2",1032.17
2039-01-01,"2",1042.23
2039-02-01,"2",1048.49
2039-03-01,"2",1049.67
2039-04-01,"2",1046.72
2039-05-01,"2",1044.85
2039-06-01,"2",1041.8
2039-07-01,"2",1041.88
2039-08-01,"2",1049.89
2039-09-01,"2",1054.38
2039-10-01,"2",1055.49
2039-11-01,"2",1054.71
2039-12-01,"2",1055.52
2040-01-01,"2",1056.48
2040-02-01,"2",1055.98
2040-03-01,"2",1054.2
2040-04-01,"2",1049.65
2040-05-01,"2",1045.91
2040-06-01,"2",1041.2
2040-07-01,"2",1037.66
2040-08-01,"2",1036.43
2040-09-01,"2",1034.54
2040-10-01,"2",1036.06
2040-11-01,"2",1035.15
2040-12-01,"2",1035.39
2041-01-01,"2",1037.15
2041-02-01,"2",1036.98
2041-03-01,"2",1035.26
2041-04-01,"2",1030.78
2041-05-01,"2",1027.5
2041-06-01,"2",1022.95
2041-07-01,"2",1020.29
2041-08-01,"2",1020.09
2041-09-01,"2",1018.88
2041-10-01,"2",1022.21
2041-11-01,"2",1024.35
2041-12-01,"2",1027.8
2042-01-01,"2",1029.94
2042-02-01,"2",1030.53
2042-03-01,"2",1028.56
2042-04-01,"2",1023.46
2042-05-01,"2",1019.81
2042-06-01,"2",1014.76
2042-07-01,"2",1011.25
2042-08-01,"2",1009.97
2042-09-01,"2",1008.55
2042-10-01,"2",1012.44
2042-11-01,"2",1014.98
2042-12-01,"2",1018.73
2043-01-01,"2",1023.1
2043-02-01,"2",1025.86
2043-03-01,"2",1026.01
2043-04-01,"2",1023.39
2043-05-01,"2",1022.96
2043-06-01,"2",1020.97
2043-07-01,"2",1020.22
2043-08-01,"2",1020.99
2043-09-01,"2",1021.69
2043-10-01,"2",1025.06
2043-11-01,"2",1027.07
2043-12-01,"2",1030.05
2044-01-01,"2",1035.65
2044-02-01,"2",1037.81
2044-03-01,"2",1038.32
2044-04-01,"2",1036.94
2044-05-01,"2",1035.52
2044-06-01,"2",1032.77
2044-07-01,"2",1030.79
2044-08-01,"2",1031.8
2044-09-01,"2",1032.1
2044-10-01,"2",1035.64
2044-11-01,"2",1036.39
2044-12-01,"2",1042.2
2045-01-01,"2",1045.8
2045-02-01,"2",1047.84
2045-03-01,"2",1047.54
2045-04-01,"2",1045.88
2045-05-01,"2",1044.83
2045-06-01,"2",1042.63
2045-07-01,"2",1041.55
2045-08-01,"2",1042.24
2045-09-01,"2",1042.46
2045-10-01,"2",1045.4
2045-11-01,"2",1046.82
2045-12-01,"2",1049.84
2046-01-01,"2",1052.85
2046-02-01,"2",1053.64
2046-03-01,"2",1052.59
2046-04-01,"2",1049.46
2046-05-01,"2",1047.38
2046-06-01,"2",1043.85
2046-07-01,"2",1043.1
2046-08-01,"2",1044.72
2046-09-01,"2",1044.92
2046-10-01,"2",1047.7
2046-11-01,"2",1048.95
2046-12-01,"2",1051.22
2047-01-01,"2",1052.39
2047-02-01,"2",1051.43
2047-03-01,"2",1048.51
2047-04-01,"2",1043.05
2047-05-01,"2",1038.86
2047-06-01,"2",1032.97
2047-07-01,"2",1029.45
2047-08-01,"2",1027.91
2047-09-01,"2",1026.52
2047-10-01,"2",1026.55
2047-11-01,"2",1026.8
2047-12-01,"2",1027.22
2048-01-01,"2",1029.52
2048-02-01,"2",1030
2048-03-01,"2",1026.76
2048-04-01,"2",1022.29
2048-05-01,"2",1018.39
2048-06-01,"2",1013.01
2048-07-01,"2",1010.15
2048-08-01,"2",1009.82
2048-09-01,"2",1009.59
2048-10-01,"2",1013.31
2048-11-01,"2",1015.16
2048-12-01,"2",1018.77
2049-01-01,"2",1022.4
2049-02-01,"2",1023.89
2049-03-01,"2",1022.07
2049-04-01,"2",1018.26
2049-05-01,"2",1015.59
2049-06-01,"2",1011.67
2049-07-01,"2",1009.54
2049-08-01,"2",1009.54
2049-09-01,"2",1009
2049-10-01,"2",1014.02
2049-11-01,"2",1016.17
2049-12-01,"2",1019.72
2050-01-01,"2",1023.21
2050-02-01,"2",1024.17
2050-03-01,"2",1022.83
2050-04-01,"2",1019.44
2050-05-01,"2",1016.84
2050-06-01,"2",1013.11
2050-07-01,"2",1010.9
2050-08-01,"2",1010.93
2050-09-01,"2",1010.37
2050-10-01,"2",1014.5
2050-11-01,"2",1016.99
2050-12-01,"2",1020.95
2051-01-01,"2",1025.25
2051-02-01,"2",1027.89
2051-03-01,"2",1027.06
2051-04-01,"2",1023.88
2051-05-01,"2",1021.4
2051-06-01,"2",1017.03
2051-07-01,"2",1014.93
2051-08-01,"2",1014.21
2051-09-01,"2",1013.76
2051-10-01,"2",1017.15
2051-11-01,"2",1019.41
2051-12-01,"2",1022.72
2052-01-01,"2",1026.51
2052-02-01,"2",1027.48
2052-03-01,"2",1026.03
2052-04-01,"2",1021.34
2052-05-01,"2",1018.07
2052-06-01,"2",1013.45
2052-07-01,"2",1011.77
2052-08-01,"2",1011.16
2052-09-01,"2",1010.48
2052-10-01,"2",1014.78
2052-11-01,"2",1016.92
2052-12-01,"2",1020.57
2053-01-01,"2",1026.4
2053-02-01,"2",1028.86
2053-03-01,"2",1028.14
2053-04-01,"2",1023.9
2053-05-01,"2",1021.14
2053-06-01,"2",1019.67
2053-07-01,"2",1022.63
2053-08-01,"2",1028.3
2053-09-01,"2",1032.43
2053-10-01,"2",1033.05
2053-11-01,"2",1034.33
2053-12-01,"2",1037.07
2054-01-01,"2",1039.99
2054-02-01,"2",1041.31
2054-03-01,"2",1039.89
2054-04-01,"2",1037.4
2054-05-01,"2",1034.84
2054-06-01,"2",1031.13
2054-07-01,"2",1028.41
2054-08-01,"2",1028.75
2054-09-01,"2",1027.85
2054-10-01,"2",1030.01
2054-11-01,"2",1029.81
2054-12-01,"2",1031.05
