"datetime","realization","MDE_ele"
2023-01-01,"25",1052.09
2023-02-01,"25",1051.22
2023-03-01,"25",1048.4
2023-04-01,"25",1043.62
2023-05-01,"25",1039.94
2023-06-01,"25",1034.63
2023-07-01,"25",1032
2023-08-01,"25",1031.72
2023-09-01,"25",1030.39
2023-10-01,"25",1033.24
2023-11-01,"25",1034.45
2023-12-01,"25",1036.74
2024-01-01,"25",1037.86
2024-02-01,"25",1036.12
2024-03-01,"25",1032.24
2024-04-01,"25",1025.66
2024-05-01,"25",1020.37
2024-06-01,"25",1013.14
2024-07-01,"25",1008.38
2024-08-01,"25",1005.71
2024-09-01,"25",1003.44
2024-10-01,"25",1006.28
2024-11-01,"25",1008.97
2024-12-01,"25",1011.39
2025-01-01,"25",1012.88
2025-02-01,"25",1012.59
2025-03-01,"25",1007.08
2025-04-01,"25",1000.34
2025-05-01,"25",994.05
2025-06-01,"25",985.86
2025-07-01,"25",982.65
2025-08-01,"25",987.79
2025-09-01,"25",989.31
2025-10-01,"25",993.36
2025-11-01,"25",995.32
2025-12-01,"25",999.22
2026-01-01,"25",1003.01
2026-02-01,"25",1003.49
2026-03-01,"25",999.66
2026-04-01,"25",994.4
2026-05-01,"25",989.85
2026-06-01,"25",983.32
2026-07-01,"25",980.14
2026-08-01,"25",983.91
2026-09-01,"25",985.59
2026-10-01,"25",990.91
2026-11-01,"25",992.99
2026-12-01,"25",996.65
2027-01-01,"25",1000.13
2027-02-01,"25",999.85
2027-03-01,"25",996.85
2027-04-01,"25",991.41
2027-05-01,"25",986.63
2027-06-01,"25",982.15
2027-07-01,"25",981.36
2027-08-01,"25",986.77
2027-09-01,"25",989.85
2027-10-01,"25",994.54
2027-11-01,"25",997.39
2027-12-01,"25",1001.86
2028-01-01,"25",1006.69
2028-02-01,"25",1010.41
2028-03-01,"25",1009.72
2028-04-01,"25",1006.73
2028-05-01,"25",1004.53
2028-06-01,"25",1001.73
2028-07-01,"25",1004.33
2028-08-01,"25",1010.49
2028-09-01,"25",1015.05
2028-10-01,"25",1018.44
2028-11-01,"25",1020.7
2028-12-01,"25",1024.01
2029-01-01,"25",1026.71
2029-02-01,"25",1025.61
2029-03-01,"25",1021.91
2029-04-01,"25",1015.07
2029-05-01,"25",1009.63
2029-06-01,"25",1002.55
2029-07-01,"25",998.18
2029-08-01,"25",994.72
2029-09-01,"25",991.86
2029-10-01,"25",996.63
2029-11-01,"25",999.03
2029-12-01,"25",1003.06
2030-01-01,"25",1007.1
2030-02-01,"25",1007.58
2030-03-01,"25",1006.5
2030-04-01,"25",1002.56
2030-05-01,"25",999.29
2030-06-01,"25",997.47
2030-07-01,"25",1000.78
2030-08-01,"25",1009.91
2030-09-01,"25",1016.46
2030-10-01,"25",1019.63
2030-11-01,"25",1023.13
2030-12-01,"25",1027.7
2031-01-01,"25",1032.17
2031-02-01,"25",1034.45
2031-03-01,"25",1033.22
2031-04-01,"25",1030.32
2031-05-01,"25",1027.19
2031-06-01,"25",1022.26
2031-07-01,"25",1017.26
2031-08-01,"25",1017.42
2031-09-01,"25",1014.75
2031-10-01,"25",1019.55
2031-11-01,"25",1021.48
2031-12-01,"25",1024.45
2032-01-01,"25",1027.68
2032-02-01,"25",1027.96
2032-03-01,"25",1024.79
2032-04-01,"25",1019.46
2032-05-01,"25",1014.22
2032-06-01,"25",1008.43
2032-07-01,"25",1005.51
2032-08-01,"25",1003.79
2032-09-01,"25",1002.26
2032-10-01,"25",1006.89
2032-11-01,"25",1008.82
2032-12-01,"25",1012.98
2033-01-01,"25",1015.02
2033-02-01,"25",1013.96
2033-03-01,"25",1010.78
2033-04-01,"25",1004.61
2033-05-01,"25",999.36
2033-06-01,"25",994.23
2033-07-01,"25",989.99
2033-08-01,"25",988.26
2033-09-01,"25",988.82
2033-10-01,"25",990.42
2033-11-01,"25",989.54
2033-12-01,"25",988.39
2034-01-01,"25",986.75
2034-02-01,"25",983.53
2034-03-01,"25",977.98
2034-04-01,"25",969.92
2034-05-01,"25",965.94
2034-06-01,"25",964.66
2034-07-01,"25",963.27
2034-08-01,"25",964.2
2034-09-01,"25",967.18
2034-10-01,"25",972.29
2034-11-01,"25",974.65
2034-12-01,"25",977.49
2035-01-01,"25",978.24
2035-02-01,"25",977.32
2035-03-01,"25",976.1
2035-04-01,"25",970.86
2035-05-01,"25",968.67
2035-06-01,"25",963.45
2035-07-01,"25",961.45
2035-08-01,"25",962.78
2035-09-01,"25",964.23
2035-10-01,"25",969.47
2035-11-01,"25",969.98
2035-12-01,"25",971.62
2036-01-01,"25",981.53
2036-02-01,"25",989.08
2036-03-01,"25",994.6
2036-04-01,"25",992.63
2036-05-01,"25",992.52
2036-06-01,"25",991.92
2036-07-01,"25",995.89
2036-08-01,"25",1010.17
2036-09-01,"25",1018.91
2036-10-01,"25",1023
2036-11-01,"25",1025.42
2036-12-01,"25",1029.15
2037-01-01,"25",1031.35
2037-02-01,"25",1030.69
2037-03-01,"25",1027.73
2037-04-01,"25",1021.66
2037-05-01,"25",1017.51
2037-06-01,"25",1011.29
2037-07-01,"25",1006.06
2037-08-01,"25",1004.08
2037-09-01,"25",1003
2037-10-01,"25",1007.18
2037-11-01,"25",1008.65
2037-12-01,"25",1013.22
2038-01-01,"25",1021.09
2038-02-01,"25",1026.19
2038-03-01,"25",1031.89
2038-04-01,"25",1031.06
2038-05-01,"25",1032.54
2038-06-01,"25",1032.48
2038-07-01,"25",1033.92
2038-08-01,"25",1036.57
2038-09-01,"25",1038.37
2038-10-01,"25",1039.94
2038-11-01,"25",1040.94
2038-12-01,"25",1043.12
2039-01-01,"25",1045.3
2039-02-01,"25",1045.19
2039-03-01,"25",1041.55
2039-04-01,"25",1037.99
2039-05-01,"25",1035.1
2039-06-01,"25",1030.92
2039-07-01,"25",1028.94
2039-08-01,"25",1028.13
2039-09-01,"25",1027
2039-10-01,"25",1030.43
2039-11-01,"25",1032.88
2039-12-01,"25",1035.04
2040-01-01,"25",1038.2
2040-02-01,"25",1039.33
2040-03-01,"25",1039.94
2040-04-01,"25",1037.47
2040-05-01,"25",1035.73
2040-06-01,"25",1033.04
2040-07-01,"25",1032.14
2040-08-01,"25",1033.96
2040-09-01,"25",1035.66
2040-10-01,"25",1038.77
2040-11-01,"25",1041.04
2040-12-01,"25",1042.93
2041-01-01,"25",1045.55
2041-02-01,"25",1048.15
2041-03-01,"25",1049.18
2041-04-01,"25",1048.64
2041-05-01,"25",1048.46
2041-06-01,"25",1046.85
2041-07-01,"25",1046.94
2041-08-01,"25",1048.05
2041-09-01,"25",1048.66
2041-10-01,"25",1051.75
2041-11-01,"25",1052.6
2041-12-01,"25",1053.52
2042-01-01,"25",1058.01
2042-02-01,"25",1059.2
2042-03-01,"25",1058.3
2042-04-01,"25",1054.27
2042-05-01,"25",1052.03
2042-06-01,"25",1049.35
2042-07-01,"25",1049.44
2042-08-01,"25",1050.4
2042-09-01,"25",1050.55
2042-10-01,"25",1052.67
2042-11-01,"25",1053.8
2042-12-01,"25",1056.16
2043-01-01,"25",1059.65
2043-02-01,"25",1061.04
2043-03-01,"25",1060.38
2043-04-01,"25",1056.37
2043-05-01,"25",1054.39
2043-06-01,"25",1052.1
2043-07-01,"25",1050.08
2043-08-01,"25",1050.69
2043-09-01,"25",1050.26
2043-10-01,"25",1052.88
2043-11-01,"25",1053.63
2043-12-01,"25",1055.64
2044-01-01,"25",1059.54
2044-02-01,"25",1061.2
2044-03-01,"25",1060.72
2044-04-01,"25",1057.33
2044-05-01,"25",1055.38
2044-06-01,"25",1052.67
2044-07-01,"25",1050.75
2044-08-01,"25",1051.82
2044-09-01,"25",1052.05
2044-10-01,"25",1054.32
2044-11-01,"25",1055.14
2044-12-01,"25",1057.13
2045-01-01,"25",1059.94
2045-02-01,"25",1060.59
2045-03-01,"25",1059.09
2045-04-01,"25",1055.12
2045-05-01,"25",1052.82
2045-06-01,"25",1049.71
2045-07-01,"25",1048.03
2045-08-01,"25",1048.1
2045-09-01,"25",1049.33
2045-10-01,"25",1049.99
2045-11-01,"25",1049.07
2045-12-01,"25",1049.51
2046-01-01,"25",1051.32
2046-02-01,"25",1051.66
2046-03-01,"25",1048.9
2046-04-01,"25",1044.31
2046-05-01,"25",1040.83
2046-06-01,"25",1036.03
2046-07-01,"25",1032.64
2046-08-01,"25",1031.86
2046-09-01,"25",1030.45
2046-10-01,"25",1030.56
2046-11-01,"25",1029.89
2046-12-01,"25",1030.45
2047-01-01,"25",1032.51
2047-02-01,"25",1033.12
2047-03-01,"25",1030.38
2047-04-01,"25",1026.54
2047-05-01,"25",1023.25
2047-06-01,"25",1018.45
2047-07-01,"25",1015.49
2047-08-01,"25",1014.4
2047-09-01,"25",1014.36
2047-10-01,"25",1019.91
2047-11-01,"25",1023.41
2047-12-01,"25",1027.43
2048-01-01,"25",1037.3
2048-02-01,"25",1043.32
2048-03-01,"25",1043.51
2048-04-01,"25",1039.85
2048-05-01,"25",1037.43
2048-06-01,"25",1032.53
2048-07-01,"25",1030.82
2048-08-01,"25",1038.05
2048-09-01,"25",1041.96
2048-10-01,"25",1043.31
2048-11-01,"25",1042.66
2048-12-01,"25",1043.69
2049-01-01,"25",1045.16
2049-02-01,"25",1045.1
2049-03-01,"25",1043.66
2049-04-01,"25",1039.33
2049-05-01,"25",1035.79
2049-06-01,"25",1031.25
2049-07-01,"25",1027.97
2049-08-01,"25",1027.1
2049-09-01,"25",1025.55
2049-10-01,"25",1027.59
2049-11-01,"25",1027.13
2049-12-01,"25",1027.85
2050-01-01,"25",1029.82
2050-02-01,"25",1029.78
2050-03-01,"25",1028.14
2050-04-01,"25",1023.64
2050-05-01,"25",1020.37
2050-06-01,"25",1015.79
2050-07-01,"25",1013.16
2050-08-01,"25",1013.1
2050-09-01,"25",1011.98
2050-10-01,"25",1015.56
2050-11-01,"25",1017.91
2050-12-01,"25",1021.62
2051-01-01,"25",1025.44
2051-02-01,"25",1027.5
2051-03-01,"25",1027.03
2051-04-01,"25",1023.31
2051-05-01,"25",1021
2051-06-01,"25",1017.4
2051-07-01,"25",1015.54
2051-08-01,"25",1015.96
2051-09-01,"25",1015.89
2051-10-01,"25",1019.87
2051-11-01,"25",1022.57
2051-12-01,"25",1026.42
2052-01-01,"25",1027.68
2052-02-01,"25",1027.72
2052-03-01,"25",1025.03
2052-04-01,"25",1019.77
2052-05-01,"25",1016.76
2052-06-01,"25",1011.95
2052-07-01,"25",1008.01
2052-08-01,"25",1005.47
2052-09-01,"25",1003.64
2052-10-01,"25",1007.05
2052-11-01,"25",1008.97
2052-12-01,"25",1011.97
2053-01-01,"25",1018.51
2053-02-01,"25",1021.29
2053-03-01,"25",1022.25
2053-04-01,"25",1021.2
2053-05-01,"25",1020.04
2053-06-01,"25",1017.46
2053-07-01,"25",1015.74
2053-08-01,"25",1017.22
2053-09-01,"25",1017.91
2053-10-01,"25",1022.12
2053-11-01,"25",1023.33
2053-12-01,"25",1029.9
2054-01-01,"25",1031.32
2054-02-01,"25",1031.4
2054-03-01,"25",1028.81
2054-04-01,"25",1024.98
2054-05-01,"25",1021.79
2054-06-01,"25",1017.16
2054-07-01,"25",1013.39
2054-08-01,"25",1011.46
2054-09-01,"25",1009.72
2054-10-01,"25",1013.44
2054-11-01,"25",1015.39
2054-12-01,"25",1019.17
