"datetime","realization","MDE_ele"
2023-01-01,"7",1052.54
2023-02-01,"7",1052.06
2023-03-01,"7",1050.09
2023-04-01,"7",1044.97
2023-05-01,"7",1041.7
2023-06-01,"7",1036.77
2023-07-01,"7",1033.23
2023-08-01,"7",1031.28
2023-09-01,"7",1029.98
2023-10-01,"7",1030.36
2023-11-01,"7",1028.68
2023-12-01,"7",1030.25
2024-01-01,"7",1038.22
2024-02-01,"7",1043.59
2024-03-01,"7",1049.33
2024-04-01,"7",1048.52
2024-05-01,"7",1049.89
2024-06-01,"7",1049.86
2024-07-01,"7",1051.24
2024-08-01,"7",1053.76
2024-09-01,"7",1055.41
2024-10-01,"7",1058.52
2024-11-01,"7",1060.81
2024-12-01,"7",1063.83
2025-01-01,"7",1067.26
2025-02-01,"7",1068.44
2025-03-01,"7",1066.56
2025-04-01,"7",1064.6
2025-05-01,"7",1063.29
2025-06-01,"7",1060.95
2025-07-01,"7",1060.7
2025-08-01,"7",1061.58
2025-09-01,"7",1061.76
2025-10-01,"7",1064.49
2025-11-01,"7",1066.38
2025-12-01,"7",1068.05
2026-01-01,"7",1070.45
2026-02-01,"7",1071.15
2026-03-01,"7",1071.39
2026-04-01,"7",1068.97
2026-05-01,"7",1067.2
2026-06-01,"7",1064.61
2026-07-01,"7",1063.52
2026-08-01,"7",1064.78
2026-09-01,"7",1065.97
2026-10-01,"7",1068.36
2026-11-01,"7",1070.02
2026-12-01,"7",1071.38
2027-01-01,"7",1073.25
2027-02-01,"7",1075.13
2027-03-01,"7",1075.64
2027-04-01,"7",1079.75
2027-05-01,"7",1083.76
2027-06-01,"7",1086.48
2027-07-01,"7",1091.19
2027-08-01,"7",1098.12
2027-09-01,"7",1104.37
2027-10-01,"7",1106.41
2027-11-01,"7",1106.66
2027-12-01,"7",1106.99
2028-01-01,"7",1108.93
2028-02-01,"7",1108.11
2028-03-01,"7",1105.73
2028-04-01,"7",1103.26
2028-05-01,"7",1102.34
2028-06-01,"7",1100.66
2028-07-01,"7",1101.51
2028-08-01,"7",1103.23
2028-09-01,"7",1104.67
2028-10-01,"7",1105.39
2028-11-01,"7",1105.3
2028-12-01,"7",1106.25
2029-01-01,"7",1107.4
2029-02-01,"7",1106.76
2029-03-01,"7",1104.54
2029-04-01,"7",1099.84
2029-05-01,"7",1097.41
2029-06-01,"7",1094.56
2029-07-01,"7",1091.88
2029-08-01,"7",1090.84
2029-09-01,"7",1089.14
2029-10-01,"7",1090.34
2029-11-01,"7",1089.92
2029-12-01,"7",1090.62
2030-01-01,"7",1092.12
2030-02-01,"7",1091.6
2030-03-01,"7",1089.33
2030-04-01,"7",1084.84
2030-05-01,"7",1082.21
2030-06-01,"7",1078.74
2030-07-01,"7",1075.91
2030-08-01,"7",1075.16
2030-09-01,"7",1073.88
2030-10-01,"7",1074.77
2030-11-01,"7",1074.32
