"datetime","realization","MDE_ele"
2023-01-01,"6",1060.11
2023-02-01,"6",1066.79
2023-03-01,"6",1071.75
2023-04-01,"6",1069.8
2023-05-01,"6",1068.6
2023-06-01,"6",1065.29
2023-07-01,"6",1062.13
2023-08-01,"6",1061.65
2023-09-01,"6",1060.8
2023-10-01,"6",1063.36
2023-11-01,"6",1064.56
2023-12-01,"6",1066.88
2024-01-01,"6",1069.89
2024-02-01,"6",1070.77
2024-03-01,"6",1070.37
2024-04-01,"6",1066.94
2024-05-01,"6",1065.21
2024-06-01,"6",1062.09
2024-07-01,"6",1060.39
2024-08-01,"6",1060.25
2024-09-01,"6",1060.28
2024-10-01,"6",1062.53
2024-11-01,"6",1062.74
2024-12-01,"6",1065.4
2025-01-01,"6",1070.53
2025-02-01,"6",1073.73
2025-03-01,"6",1077.29
2025-04-01,"6",1075.24
2025-05-01,"6",1075.15
2025-06-01,"6",1073.77
2025-07-01,"6",1073.48
2025-08-01,"6",1074.17
2025-09-01,"6",1074.43
2025-10-01,"6",1077.03
2025-11-01,"6",1078.88
2025-12-01,"6",1081.42
2026-01-01,"6",1083.02
2026-02-01,"6",1082.42
2026-03-01,"6",1079.07
2026-04-01,"6",1077.38
2026-05-01,"6",1076.94
2026-06-01,"6",1075.46
2026-07-01,"6",1076.08
2026-08-01,"6",1077.3
2026-09-01,"6",1077.64
2026-10-01,"6",1079.39
2026-11-01,"6",1080.33
2026-12-01,"6",1081.13
2027-01-01,"6",1081.69
2027-02-01,"6",1080.51
2027-03-01,"6",1079.04
2027-04-01,"6",1076.74
2027-05-01,"6",1075.71
2027-06-01,"6",1073.81
2027-07-01,"6",1073.52
2027-08-01,"6",1075.02
2027-09-01,"6",1076.2
2027-10-01,"6",1077.56
2027-11-01,"6",1078.21
2027-12-01,"6",1078.61
2028-01-01,"6",1087.26
2028-02-01,"6",1096.16
2028-03-01,"6",1104.87
2028-04-01,"6",1110.68
2028-05-01,"6",1115.23
2028-06-01,"6",1117.87
2028-07-01,"6",1121.41
2028-08-01,"6",1127.04
2028-09-01,"6",1130.52
2028-10-01,"6",1131.66
2028-11-01,"6",1131.19
2028-12-01,"6",1130.82
2029-01-01,"6",1132.41
2029-02-01,"6",1131.53
2029-03-01,"6",1129.22
2029-04-01,"6",1127.84
2029-05-01,"6",1128.55
2029-06-01,"6",1129.11
2029-07-01,"6",1132.16
2029-08-01,"6",1136.54
2029-09-01,"6",1137.01
2029-10-01,"6",1137.44
2029-11-01,"6",1137.17
2029-12-01,"6",1137.82
2030-01-01,"6",1138.76
2030-02-01,"6",1138.16
2030-03-01,"6",1136.18
2030-04-01,"6",1132.03
2030-05-01,"6",1129.83
2030-06-01,"6",1127.27
2030-07-01,"6",1124.81
2030-08-01,"6",1123.79
2030-09-01,"6",1122.21
2030-10-01,"6",1123.19
2030-11-01,"6",1122.76
2030-12-01,"6",1123.32
2031-01-01,"6",1124.59
2031-02-01,"6",1124.1
2031-03-01,"6",1122.06
2031-04-01,"6",1118.07
2031-05-01,"6",1115.71
2031-06-01,"6",1112.6
2031-07-01,"6",1110.04
2031-08-01,"6",1109.28
2031-09-01,"6",1108.08
2031-10-01,"6",1108.8
2031-11-01,"6",1108.35
2031-12-01,"6",1108.88
2032-01-01,"6",1109.37
2032-02-01,"6",1107.99
2032-03-01,"6",1104.99
2032-04-01,"6",1100.25
2032-05-01,"6",1097.45
2032-06-01,"6",1093.82
2032-07-01,"6",1091.32
2032-08-01,"6",1089.71
2032-09-01,"6",1089.29
2032-10-01,"6",1090.47
2032-11-01,"6",1090.08
2032-12-01,"6",1090.56
2033-01-01,"6",1091.74
2033-02-01,"6",1091.42
2033-03-01,"6",1088.74
2033-04-01,"6",1084.75
2033-05-01,"6",1082.34
2033-06-01,"6",1078.77
2033-07-01,"6",1076.51
2033-08-01,"6",1075.91
2033-09-01,"6",1074.63
2033-10-01,"6",1073.64
2033-11-01,"6",1071.96
2033-12-01,"6",1071.34
2034-01-01,"6",1072.42
2034-02-01,"6",1072.34
2034-03-01,"6",1069.47
2034-04-01,"6",1065.68
2034-05-01,"6",1062.37
2034-06-01,"6",1057.78
2034-07-01,"6",1054.7
2034-08-01,"6",1053.14
2034-09-01,"6",1052.47
2034-10-01,"6",1054.4
2034-11-01,"6",1054.94
2034-12-01,"6",1056.33
2035-01-01,"6",1064.06
2035-02-01,"6",1069.28
2035-03-01,"6",1070.52
2035-04-01,"6",1068.22
2035-05-01,"6",1067.07
2035-06-01,"6",1063.55
2035-07-01,"6",1060.82
2035-08-01,"6",1060.33
2035-09-01,"6",1059.24
2035-10-01,"6",1061.99
2035-11-01,"6",1062.62
2035-12-01,"6",1064.45
2036-01-01,"6",1064.74
2036-02-01,"6",1063.72
2036-03-01,"6",1061.43
2036-04-01,"6",1056.5
