"ASARCO","CAGRD","Chandler","Gilbert","Glendale","Goodyear","Mesa","Peoria","Phoenix","Scottsdale","Tempe","OTHER","Partner"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FED","Ak-Chin"
NA,NA,NA,NA,NA,NA,NA,NA,"FED",NA,NA,NA,"FMYN"
NA,"NIA","FED",NA,NA,"FED",NA,"FED","FED","FED",NA,"FED","GRIC"
NA,NA,NA,"FED",NA,NA,NA,NA,NA,"FED",NA,"FED","SCAT"
NA,NA,"FED","FED","FED",NA,"FED",NA,"FED","FED","FED",NA,"SRPMIC"
"NIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tohono O'odham"
