"ASARCO","CAGRD","Chandler","Gilbert","Glendale","Goodyear","Mesa","Peoria","Phoenix","Scottsdale","Tempe","OTHER","Partner"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,"Ak-Chin"
NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,"FMYN"
NA,1,1,NA,NA,1,NA,1,1,1,NA,1,"GRIC"
NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0.94,"SCAT"
NA,NA,1,1,1,NA,1,NA,1,1,1,NA,"SRPMIC"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tohono O'odham"
