"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Delivered","13140"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Scheduled","13000"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Remaining","-140"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Delivered","23229"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Scheduled","22230"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Remaining","-999"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Delivered","1600"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Scheduled","1600"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Delivered","6500"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Scheduled","6500"
"Phoenix","RWCD","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Delivered","31500"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","31500"
"Phoenix","RWCD","GRIC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Delivered","38"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Scheduled","37"
"Phoenix","RWCD","Tonto Hills DWID",2016,"GSF Deliveries","Recharge","Remaining","-1"
"Phoenix","RWCD","USBR",2016,"GSF Deliveries","Recharge","Delivered","5000"
"Phoenix","RWCD","USBR",2016,"GSF Deliveries","Recharge","Scheduled","5000"
"Phoenix","RWCD","USBR",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","RWCD","WUCFD, Apache Junction",2016,"GSF Deliveries","Recharge","Delivered","250"
"Phoenix","RWCD","WUCFD, Apache Junction",2016,"GSF Deliveries","Recharge","Scheduled","250"
"Phoenix","RWCD","WUCFD, Apache Junction",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","RWCD","Total",2016,"GSF Deliveries","Recharge","Delivered","44888"
"Phoenix","RWCD","Total",2016,"GSF Deliveries","Recharge","Scheduled","44887"
"Phoenix","RWCD","Total",2016,"GSF Deliveries","Recharge","Remaining","-1"
"Phoenix","SRP","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Delivered","6139"
"Phoenix","SRP","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Scheduled","6139"
"Phoenix","SRP","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Delivered","10100"
"Phoenix","SRP","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Scheduled","10100"
"Phoenix","SRP","Freeport-Morenci",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Glendale",2016,"GSF Deliveries","Recharge","Delivered","1000"
"Phoenix","SRP","Glendale",2016,"GSF Deliveries","Recharge","Scheduled","1000"
"Phoenix","SRP","Glendale",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","GRIC",2016,"GSF Deliveries","Recharge","Delivered","32689"
"Phoenix","SRP","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","32689"
"Phoenix","SRP","GRIC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Peoria",2016,"GSF Deliveries","Recharge","Delivered","7500"
"Phoenix","SRP","Peoria",2016,"GSF Deliveries","Recharge","Scheduled","7500"
"Phoenix","SRP","Peoria",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Phoenix",2016,"GSF Deliveries","Recharge","Delivered","10000"
"Phoenix","SRP","Phoenix",2016,"GSF Deliveries","Recharge","Scheduled","10000"
"Phoenix","SRP","Phoenix",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Scottsdale",2016,"GSF Deliveries","Recharge","Delivered","4700"
"Phoenix","SRP","Scottsdale",2016,"GSF Deliveries","Recharge","Scheduled","4700"
"Phoenix","SRP","Scottsdale",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","SRP","Total",2016,"GSF Deliveries","Recharge","Delivered","72128"
