"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5812,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0
2019-08-01,0,0,0,0,300,0,0,0,0,0,0,0,0,8170,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,0,0,0
2019-09-01,0,0,0,0,550,0,0,0,0,0,0,0,0,12924,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13885,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,2544,1875,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,30,1875,0,0,0,0,0,0,0,6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,2578,1875,0,0,0,0,0,0,0,10154,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,1451,0,2658,1875,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,0,0,3332,0,72,1644,0,0,0,0,0,0,0,21890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,4500,0,300,2495,0,0,0,0,0,0,0,16181,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0
