"Year","Month","Product","Use","variable","value"
2022,"APR","Monthly","Buy","Total Dollars","1441624"
2022,"APR","Day Ahead","Buy","Total Dollars","5082910"
2022,"APR","Day Ahead","Sell","Total Dollars","231120"
2022,"MAY","Monthly","Buy","Total Dollars","1497884"
2022,"MAY","Day Ahead","Buy","Total Dollars","5658380"
2022,"MAY","Day Ahead","Sell","Total Dollars","196020"
2022,"JUN","Monthly","Buy","Total Dollars","1441624"
2022,"JUN","Day Ahead","Buy","Total Dollars","1761200"
2022,"JUN","Day Ahead","Sell","Total Dollars","4014800"
2022,"JUL","Monthly","Buy","Total Dollars","1520961.6"
2022,"JUL","Day Ahead","Buy","Total Dollars","332640"
2022,"JUL","Day Ahead","Sell","Total Dollars","5789000"
2022,"AUG","Monthly","Buy","Total Dollars","1422033.6"
2022,"AUG","Day Ahead","Buy","Total Dollars","244440"
2022,"AUG","Day Ahead","Sell","Total Dollars","5482400"
2022,"SEP","Monthly","Buy","Total Dollars","1432008"
2022,"SEP","Day Ahead","Buy","Total Dollars","5573400"
2022,"SEP","Day Ahead","Sell","Total Dollars","1952000"
2022,"OCT","Monthly","Buy","Total Dollars","3082674"
2022,"OCT","Day Ahead","Buy","Total Dollars","1386400"
2022,"OCT","Day Ahead","Sell","Total Dollars","3152850"
2022,"NOV","Monthly","Buy","Total Dollars","2989560"
2022,"NOV","Day Ahead","Buy","Total Dollars","1126800"
2022,"NOV","Day Ahead","Sell","Total Dollars","3711000"
2022,"DEC","Monthly","Buy","Total Dollars","3082674"
2022,"DEC","Day Ahead","Buy","Total Dollars","967600"
2022,"DEC","Day Ahead","Sell","Total Dollars","4628220"
2022,"TOTAL","Monthly","Buy","Total Dollars","30143607.199999999"
2022,"TOTAL","Day Ahead","Buy","Total Dollars","28162930"
2022,"TOTAL","Day Ahead","Sell","Total Dollars","35121485"
2022,"JAN","SRP FLEET OPTION","Buy","MWH","26040"
2022,"JAN","SOLAR","Buy","MWH","5286.8343059999979"
2022,"JAN","HOOVER","Buy","MWH","7280"
2022,"FEB","SRP FLEET OPTION","Buy","MWH","23520"
2022,"FEB","SOLAR","Buy","MWH","5951.8225430000002"
2022,"FEB","HOOVER","Buy","MWH","7698"
2022,"MAR","SRP FLEET OPTION","Buy","MWH","26040"
2022,"MAR","SOLAR","Buy","MWH","7751.5789059999997"
2022,"MAR","HOOVER","Buy","MWH","13033"
2022,"APR","SRP FLEET OPTION","Buy","MWH","25200"
2022,"APR","SOLAR","Buy","MWH","8924.4084060000005"
2022,"APR","HOOVER","Buy","MWH","13808"
2022,"MAY","SRP FLEET OPTION","Buy","MWH","26040"
2022,"MAY","SOLAR","Buy","MWH","10217.633232"
2022,"MAY","HOOVER","Buy","MWH","13402"
2022,"JUN","SRP FLEET OPTION","Buy","MWH","25200"
2022,"JUN","SOLAR","Buy","MWH","10005.076025999999"
2022,"JUN","HOOVER","Buy","MWH","12683"
2022,"JUL","SRP FLEET OPTION","Buy","MWH","26040"
2022,"JUL","SOLAR","Buy","MWH","9031.0920579999984"
2022,"JUL","HOOVER","Buy","MWH","11003"
2022,"AUG","SRP FLEET OPTION","Buy","MWH","26040"
2022,"AUG","SOLAR","Buy","MWH","8347.3062929999978"
2022,"AUG","HOOVER","Buy","MWH","10503"
2022,"SEP","SRP FLEET OPTION","Buy","MWH","25200"
2022,"SEP","SOLAR","Buy","MWH","7169.2854460000008"
2022,"SEP","HOOVER","Buy","MWH","9258"
2022,"OCT","SRP FLEET OPTION","Buy","MWH","26040"
2022,"OCT","SOLAR","Buy","MWH","6662.2561479999977"
2022,"OCT","HOOVER","Buy","MWH","11604"
2022,"NOV","SRP FLEET OPTION","Buy","MWH","25200"
2022,"NOV","SOLAR","Buy","MWH","5360.6315420000001"
2022,"NOV","HOOVER","Buy","MWH","10859"
2022,"DEC","SRP FLEET OPTION","Buy","MWH","26040"
2022,"DEC","SOLAR","Buy","MWH","4705.1865439999974"
2022,"DEC","HOOVER","Buy","MWH","6521"
2022,"TOTAL","SRP FLEET OPTION","Buy","MWH","306600"
2022,"TOTAL","SOLAR","Buy","MWH","89413.111449999982"
2022,"TOTAL","HOOVER","Buy","MWH","127652"
2022,"JAN","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","57.0375"
2022,"JAN","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"JAN","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"FEB","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","57.0375"
2022,"FEB","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"FEB","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"MAR","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","48.78241875"
2022,"MAR","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"MAR","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"APR","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","42.4922625"
